ADDRESS,Price,Bedrooms,Bathrooms,Garage,Build Year,Floor Area
18 Parkfield Boulevard,380000,4,2,2.0,2002.0,190
19 Millbrook Avenue,320000,3,2,2.0,2008.0,94
19 Waterfields Drive,305000,3,2,2.0,2010.0,140
2 Chipperton Road,567000,4,2,2.0,2001.0,237
2 Kawoor Mews,385000,3,2,4.0,2006.0,198
2 Orient Way,360000,4,2,2.0,2005.0,186
2 Rewell Vista,450000,4,2,2.0,2005.0,164
20 Camballin Loop,390000,4,2,2.0,2009.0,187
20 Cheltenham Loop,300000,3,2,2.0,2008.0,129
20 Kalbarri Crescent,436000,4,2,2.0,2008.0,180
20 Parkfield Boulevard,370000,4,2,5.0,2002.0,142
21 Burkett Terrace,445000,4,2,2.0,2005.0,204
21 Price Parkway,360000,4,2,2.0,2005.0,144
21 Waterfields Drive,355000,4,2,2.0,2009.0,214
22 Ludlow Way,285000,3,2,1.0,2011.0,107
22 Parkfield Boulevard,370000,4,2,2.0,2001.0,153
23 McCallum Parkway,340000,3,2,2.0,2005.0,175
23 Moombaki Avenue,511000,4,2,2.0,2005.0,219
230 Johnson Road,389000,3,2,3.0,2005.0,140
24 Burkett Terrace,385000,4,2,2.0,2006.0,184
24 Caroline Crescent,360000,3,2,2.0,2004.0,144
24 Daintree Loop,425000,4,2,2.0,2003.0,202
24 Protector Way,359000,3,2,2.0,2006.0,137
24 Whiteman Crescent,373000,3,2,2.0,2002.0,200
253 Johnson Road,350000,4,2,6.0,2006.0,152
26 Keyham Street,400000,4,2,2.0,2010.0,172
26 Silverline Bend,372500,4,2,2.0,2010.0,173
27 Chipperton Road,485000,4,2,4.0,2006.0,210
271 Johnson Road,470000,4,2,2.0,2007.0,255
277 Johnson Road,372000,4,2,2.0,2006.0,166
28 Burkett Terrace,325000,4,2,2.0,2006.0,153
28 Camballin Loop,420000,4,2,2.0,2010.0,213
283 Johnson Road,380000,4,2,2.0,2006.0,150
29 Araluen Crescent,302000,3,2,2.0,2006.0,158
29 Centennial Avenue,435000,4,2,2.0,2004.0,200
29 Dewsbury Drive,375000,3,2,2.0,2008.0,126
2A Lilac Pass,277000,4,2,2.0,2006.0,141
3 Antrim Way,336000,4,2,2.0,2011.0,122
3 Cape York Ramble,370000,4,2,2.0,2004.0,165
3 Hunter Way,355000,4,2,2.0,2006.0,152
3 Ludlow Way,276000,3,2,2.0,2011.0,110
3 Napoleon Way,320000,4,2,2.0,2005.0,143
30 Chieftain Street,400000,4,2,2.0,2006.0,171
30 Datchet Turn,296000,3,2,2.0,2011.0,130
30 Koomba Rise,445000,4,2,2.0,2006.0,185
31 Araluen Crescent,380000,4,2,2.0,2005.0,150
31 Chieftain Street,420000,4,2,2.0,2006.0,178
31 Keyham Street,315000,4,2,2.0,2010.0,130
31 Millbrook Avenue,270000,3,2,2.0,2008.0,125
32 Centennial Avenue,420000,4,2,2.0,2003.0,209
32 Parkfield Boulevard,310000,3,2,2.0,2000.0,160
32 Sanctuary Drive,500000,4,2,2.0,2008.0,216
33 Champion Drive,445000,4,2,2.0,2003.0,243
34 Araluen Crescent,370000,4,2,2.0,2006.0,157
36 Moston Crescent,355000,3,2,2.0,2010.0,123
37 Datchet Turn,310000,3,2,2.0,2010.0,99
38 Camballin Loop,370000,4,2,2.0,2009.0,184
38 Shannon Pass,350000,4,2,2.0,2011.0,191
39 Araluen Crescent,400000,3,2,2.0,2005.0,158
4 Bailey Way,432000,4,2,2.0,2007.0,179
4 Britannia Way,516000,4,2,2.0,2006.0,240
4 Cheltenham Loop,360000,3,2,2.0,2009.0,137
4 Datchet Turn,283000,3,2,2.0,2011.0,117
4 John Forrest Circuit,390000,4,2,2.0,2006.0,154
4 Maynard Way,387000,4,2,2.0,2005.0,156
4 McCallum Parkway,435000,4,2,2.0,2006.0,236
4 Napoleon Way,390000,5,2,2.0,2006.0,153
4 Silverline Bend,380000,4,2,2.0,2007.0,157
4 Thompson Terrace,340000,4,2,2.0,2002.0,154
4 Wimbledon Street,485000,4,2,2.0,2004.0,213
4 Yelka Way,400000,3,2,2.0,2002.0,185
40 Cheltenham Loop,254000,3,2,2.0,2008.0,143
41 Chieftain Street,479000,4,2,3.0,2006.0,210
41 Moombaki Avenue,480000,4,2,2.0,2010.0,224
42 Daintree Loop,410000,4,2,2.0,2002.0,175
43 Minstrell Road,482500,4,2,4.0,2007.0,214
46 Daintree Loop,352500,4,2,2.0,2002.0,140
46 John Forrest Circuit,465000,4,2,2.0,2010.0,215
46 Sanctuary Drive,410000,4,2,2.0,2008.0,210
47 ARALUEN CRESCENT,390000,4,2,2.0,2006.0,171
48 Moombaki Avenue,482000,4,2,4.0,2007.0,242
49 Araluen Crescent,400000,4,2,4.0,2006.0,161
5 Drummore Way,390000,4,2,2.0,2004.0,187
5 Jardine Pass,455000,4,2,2.0,2004.0,190
5 Kail Place,365000,3,2,2.0,2006.0,143
5 Karda Way,428000,4,2,2.0,2005.0,160
5 Orient Way,430000,4,2,2.0,2004.0,170
5 Ostling Avenue,336000,4,2,2.0,2006.0,149
5 Range Way,348000,4,2,2.0,2007.0,181
5 Stratford Road,350000,3,2,2.0,2009.0,137
5 Wimbledon Street,325000,4,2,2.0,2004.0,190
5 Yoorn Way,455500,4,2,2.0,2007.0,211
52 Cheltenham Loop,365000,4,2,2.0,2008.0,142
53 Araluen Crescent,477500,4,2,2.0,2006.0,178
53 Parkfield Boulevard,293000,4,2,2.0,2003.0,144
55 Parkfield Boulevard,416000,4,2,2.0,2000.0,184
58 Centennial Avenue,321500,3,2,2.0,2010.0,147
58 Wanstead Vista,520000,4,2,2.0,2011.0,280
6 Bailey Way,374000,4,2,2.0,2006.0,151
6 Britannia Way,407000,4,2,2.0,2005.0,173
6 Burkett Terrace,500000,4,2,2.0,2006.0,230
6 Camballin Loop,340000,4,2,2.0,2010.0,154
6 Cheltenham Loop,300000,4,2,2.0,2009.0,121
6 Heyford Parade,339000,4,2,2.0,2009.0,123
6 John Forrest Circuit,415000,4,2,2.0,2006.0,184
6 Kalbarri Crescent,470000,4,2,4.0,2009.0,206
6 Kawoor Mews,500000,4,2,2.0,2008.0,227
6 Lakewood Grove,385000,4,2,2.0,2006.0,186
6 Maynard Way,430000,4,2,4.0,2006.0,150
6 McCallum Parkway,460000,6,3,2.0,2005.0,167
6 Moombaki Avenue,455000,4,2,2.0,2004.0,167
6 Renton Way,358000,3,2,2.0,2011.0,126
6 Warrior Pass,270000,3,2,2.0,2003.0,128
6 Yelka Way,368000,4,2,2.0,2002.0,144
6 Yirel Close,400000,4,2,2.0,2005.0,191
6 Yoorn Way,365000,4,2,2.0,2007.0,185
62 Champion Drive,430000,4,2,2.0,2006.0,190
63 Centennial Avenue,359000,4,2,2.0,2009.0,164
67 Sanctuary Drive,362500,4,2,2.0,2010.0,218
7 Ameer Crescent,410000,4,2,2.0,2005.0,155
7 CAPE YORK RAMBLE,440000,4,2,2.0,2003.0,148
7 Daintree Loop,429900,5,2,2.0,2002.0,292
7 Diadem Crescent,373000,4,2,4.0,2005.0,154
7 Drummore Way,467800,4,2,2.0,2005.0,201
7 Everglades Link,350000,4,2,4.0,2006.0,185
7 Millom Way,360000,3,2,2.0,2012.0,116
7 Tain Way,300000,3,2,2.0,2011.0,126
7 Tranby Way,405000,3,2,2.0,2003.0,177
7 Yirel Close,350000,4,2,4.0,2004.0,191
70 Wanstead Vista,515000,5,3,2.0,2006.0,237
74 Centennial Avenue,329000,4,2,2.0,2009.0,196
74 Price Parkway,405000,4,2,2.0,2008.0,157
76 Centennial Avenue,360000,4,2,2.0,2011.0,142
8 Centennial Avenue,362000,4,2,2.0,2003.0,144
8 Corrour Bend,285000,3,2,2.0,2012.0,106
8 Daintree Loop,387000,4,2,2.0,2002.0,140
8 Dewsbury Drive,307000,3,2,2.0,2008.0,160
8 Drummore Way,360000,4,2,2.0,2005.0,145
8 Kalbarri Crescent,370000,4,2,2.0,2007.0,143
8 Leeuwin Chase,375000,4,2,2.0,2006.0,138
8 Minstrell Road,457000,4,2,2.0,2005.0,246
8 Moombaki Avenue,490000,4,2,2.0,2004.0,193
8 Napoleon Way,316000,4,2,2.0,2005.0,142
8 Protector Way,380000,4,2,1.0,2004.0,147
8 Sanctuary Drive,470000,4,2,2.0,2007.0,195
8 Silverline Bend,385000,4,2,2.0,2008.0,162
82 Price Parkway,312000,3,2,2.0,2008.0,170
87 Johnson Road,419000,4,2,2.0,2009.0,198
9 Cape York Ramble,429000,4,2,2.0,2003.0,211
9 Champion Drive,329000,4,2,2.0,2006.0,163
9 Ganges Way,315000,3,2,2.0,2013.0,114
9 Kalbarri Crescent,442000,4,2,4.0,2008.0,240
9 Kawoor Mews,380000,6,3,2.0,2006.0,200
90 Centennial Avenue,376000,4,2,2.0,2008.0,180
93 Centennial Avenue,350000,4,2,2.0,2005.0,177
98 Centennial Avenue,441000,4,2,2.0,2004.0,195
