Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
0,36,5.125,1,1,Education,White,5.0,1,0,0,1,ByBirth,0,4000,1
0,22,10.75,1,1,Materials,White,0.415,1,1,5,1,ByBirth,0,560,1
1,27,1.5,1,1,Industrials,White,2.0,1,1,11,1,ByBirth,434,35,1
1,27,1.585,1,1,InformationTechnology,Black,1.835,1,1,12,1,ByBirth,583,713,1
0,23,11.75,1,1,Utilities,Black,0.5,1,1,2,1,ByBirth,300,551,1
1,27,0.585,0,0,InformationTechnology,White,0.25,1,1,2,0,ByBirth,260,500,1
1,54,9.415,1,1,Healthcare,Latino,14.415,1,1,11,1,ByBirth,30,300,1
1,34,9.17,1,1,Energy,White,4.5,1,1,12,1,ByBirth,0,221,1
1,28,15.0,1,1,Energy,Black,5.335,1,1,11,0,ByBirth,0,2283,1
1,29,1.415,1,1,Industrials,Black,0.75,1,1,1,0,ByBirth,240,100,1
1,39,13.915,1,1,Industrials,White,8.625,1,1,6,1,ByBirth,70,0,1
1,56,28.0,0,0,Energy,White,28.5,1,1,40,0,ByBirth,0,15,1
1,54,6.75,1,1,Energy,Black,2.625,1,1,11,1,ByBirth,0,284,1
0,41,2.04,0,0,Materials,Black,0.125,1,1,23,1,ByBirth,455,1236,1
1,31,4.46,1,1,InformationTechnology,Black,6.04,1,1,3,0,ByBirth,311,300,1
1,41,1.54,1,1,ConsumerDiscretionary,Asian,3.5,0,0,0,0,ByBirth,216,0,1
1,23,0.665,1,1,Energy,White,0.165,0,0,0,0,ByBirth,100,0,1
0,25,0.5,1,1,Energy,Black,0.875,1,0,0,1,ByBirth,491,0,1
1,26,1.0,1,1,Materials,White,1.75,1,0,0,1,ByBirth,280,0,1
1,37,2.04,1,1,Industrials,White,0.04,1,0,0,1,ByBirth,400,5800,1
1,34,2.5,1,1,Industrials,White,0.0,1,0,0,1,ByBirth,239,200,1
1,34,3.0,1,1,InformationTechnology,Black,7.415,1,0,0,1,ByBirth,0,0,1
1,23,11.625,0,0,Industrials,White,0.835,1,0,0,1,ByBirth,160,300,1
1,23,0.0,1,1,InformationTechnology,White,0.085,1,0,0,0,ByBirth,0,0,1
1,44,0.5,1,1,ConsumerDiscretionary,Black,5.0,1,0,0,1,ByBirth,320,0,1
1,35,4.5,1,1,Utilities,Black,5.75,0,0,0,1,ByOtherMeans,711,0,1
1,43,3.0,1,1,Materials,Black,6.0,1,1,11,0,ByBirth,80,0,1
1,56,12.25,1,1,CommunicationServices,White,1.25,1,1,4,1,ByBirth,200,0,1
1,31,16.165,1,1,Real Estate,White,3.0,1,1,9,0,ByBirth,250,730,1
0,23,0.79,0,0,Materials,White,1.5,1,1,2,1,ByBirth,80,400,1
0,20,0.835,1,1,Materials,White,1.585,1,1,1,0,ByBirth,0,0,1
1,26,4.25,1,1,InformationTechnology,White,4.29,1,1,1,1,ByBirth,120,0,1
1,34,1.54,1,1,InformationTechnology,White,1.54,1,1,1,1,ByBirth,520,50000,1
0,36,1.0,1,1,Energy,White,2.0,1,1,11,0,ByBirth,0,456,1
1,25,0.375,1,1,CommunicationServices,White,0.25,1,1,3,0,ByBirth,260,15108,1
1,19,6.5,1,1,Industrials,Black,1.46,1,1,7,0,ByBirth,80,2954,1
1,35,25.125,1,1,Utilities,Black,1.625,1,1,1,1,ByBirth,515,500,1
1,32,7.5,1,1,Education,Asian,1.585,1,0,0,1,ByOtherMeans,420,0,0
1,34,4.0,1,1,Real Estate,Asian,12.5,1,0,0,1,ByBirth,0,0,0
0,38,5.0,1,1,InformationTechnology,White,13.5,1,0,0,1,ByBirth,980,0,0
1,44,0.5,1,1,CommunicationServices,White,10.75,1,0,0,0,ByOtherMeans,400,0,0
1,44,7.0,0,0,Energy,White,1.625,0,0,0,0,ByBirth,160,2,0
1,20,5.29,1,1,Materials,White,0.375,1,1,1,0,ByBirth,160,0,0
1,34,6.5,1,1,ConsumerStaples,White,0.125,1,0,0,1,ByBirth,443,0,0
0,19,0.585,0,0,ConsumerStaples,White,0.585,1,0,0,1,ByBirth,160,0,0
1,21,1.165,0,0,Financials,White,2.5,1,1,1,0,ByBirth,180,20,0
1,21,9.75,1,1,Energy,White,0.25,1,0,0,0,ByBirth,140,0,0
1,49,19.0,1,1,Healthcare,Latino,0.0,1,1,1,0,ByBirth,94,0,0
0,27,1.5,1,1,CommunicationServices,White,2.0,1,0,0,0,ByOtherMeans,368,0,0
1,39,0.5,1,1,CommunicationServices,White,0.25,1,0,0,0,ByOtherMeans,288,0,0
0,28,3.5,1,1,Real Estate,White,3.0,1,0,0,1,ByBirth,300,0,0
1,27,0.625,1,1,ConsumerStaples,White,0.455,1,0,0,1,ByBirth,200,0,0
1,37,4.0,1,1,Energy,Asian,5.0,1,0,0,1,ByOtherMeans,280,0,0
1,28,0.375,1,1,Real Estate,White,0.875,1,0,0,1,ByOtherMeans,928,0,0
1,25,2.21,0,0,ConsumerStaples,White,4.0,1,0,0,0,ByBirth,188,0,0
1,34,4.5,1,1,ConsumerStaples,White,1.0,1,0,0,1,ByBirth,240,0,0
0,49,1.5,1,1,Research,Other,0.0,1,0,0,1,ByBirth,100,27,0
1,62,12.75,0,0,Energy,Black,5.0,1,0,0,0,ByBirth,112,0,0
1,31,15.5,1,1,Energy,White,0.5,1,0,0,0,ByBirth,120,0,0
1,28,5.0,0,0,ConsumerStaples,White,8.5,1,0,0,0,ByBirth,0,0,0
1,52,1.375,0,0,Energy,Black,9.46,1,0,0,1,ByBirth,200,100,0
1,28,1.5,0,0,Energy,White,1.5,1,0,0,1,ByBirth,0,225,0
0,28,3.54,1,1,ConsumerDiscretionary,Asian,0.5,1,0,0,1,ByBirth,171,0,0
1,23,0.625,0,0,ConsumerStaples,White,0.125,1,0,0,0,ByBirth,180,1,0
1,28,0.5,1,1,Energy,Asian,0.835,1,0,0,1,ByOtherMeans,320,0,0
0,22,11.0,0,0,Materials,White,3.0,1,0,0,1,ByBirth,268,0,0
0,28,1.0,1,1,Materials,White,1.0,1,1,2,1,ByBirth,167,500,0
1,37,1.75,0,0,Energy,Asian,0.25,1,0,0,1,ByBirth,164,400,0
1,35,16.5,0,0,Energy,White,4.0,1,0,0,0,ByBirth,80,0,0
1,18,5.0,1,1,Materials,White,0.375,1,1,2,0,ByBirth,0,38,0
1,25,12.0,1,1,Financials,White,2.25,1,1,2,1,ByBirth,120,5,0
1,27,4.0,0,0,ConsumerDiscretionary,Black,5.75,1,1,2,1,ByBirth,75,0,0
1,54,15.5,1,1,Education,Other,0.0,1,1,20,0,ByBirth,152,130,0
1,28,1.165,1,1,Financials,White,0.5,1,0,0,0,ByOtherMeans,280,0,0
0,25,11.0,0,0,ConsumerStaples,White,4.5,1,0,0,0,ByBirth,120,0,0
1,40,2.25,0,0,Utilities,Black,10.0,1,0,0,1,ByBirth,176,0,0
0,19,0.75,1,1,Energy,White,0.795,1,1,5,1,ByBirth,140,5,0
1,29,3.5,1,1,Industrials,White,3.5,1,1,3,1,ByBirth,329,0,0
0,24,1.04,0,0,Healthcare,Latino,0.5,1,1,3,0,ByBirth,180,147,0
1,24,12.5,1,1,Industrials,White,0.875,1,0,0,1,ByBirth,260,0,0
0,33,0.75,1,1,Financials,Asian,1.0,1,1,3,1,ByBirth,212,0,0
1,20,1.25,0,0,Energy,Black,1.375,1,1,3,1,ByBirth,140,210,0
0,25,1.125,1,1,Materials,White,1.29,1,1,2,0,ByBirth,200,0,0
1,37,7.0,1,1,Materials,Black,11.5,1,1,7,1,ByBirth,300,5,0
1,52,6.5,1,1,Financials,White,6.29,1,1,15,0,ByBirth,0,11202,1
1,57,7.04,1,1,CommunicationServices,White,14.0,1,1,6,1,ByBirth,360,1332,1
0,20,10.335,1,1,InformationTechnology,Black,0.335,1,1,1,1,ByBirth,80,50,1
1,39,6.21,1,1,Materials,White,0.04,1,1,1,0,ByBirth,200,300,1
1,25,12.5,1,1,InformationTechnology,White,1.21,1,1,67,1,ByBirth,140,258,1
0,24,12.5,1,1,ConsumerStaples,White,1.5,1,1,12,1,ByBirth,120,567,1
0,44,6.665,1,1,Materials,White,7.375,1,1,3,1,ByBirth,0,0,1
0,23,9.0,1,1,Materials,White,8.5,1,1,5,1,ByBirth,120,0,1
1,34,5.0,1,1,Utilities,Black,7.5,1,1,6,1,ByBirth,0,1000,1
1,47,2.5,1,1,CommunicationServices,Asian,2.5,1,1,12,1,ByBirth,410,2510,1
1,22,11.0,1,1,Materials,White,2.5,1,1,7,1,ByBirth,100,809,1
1,34,4.25,1,1,ConsumerDiscretionary,Asian,3.25,1,1,2,0,ByBirth,274,610,1
0,28,3.5,1,1,Industrials,White,0.835,1,0,0,0,ByOtherMeans,280,0,1
1,67,5.5,1,1,Education,Other,13.0,1,1,1,1,ByBirth,0,0,1
1,20,1.835,1,1,Energy,White,2.25,1,1,1,0,ByBirth,100,150,1
0,47,8.0,1,1,Education,Asian,6.5,1,1,6,0,ByBirth,375,51100,1
1,36,5.0,1,1,Energy,Asian,2.5,1,1,6,0,ByBirth,0,367,1
1,32,5.5,1,1,Materials,Black,5.5,1,1,12,1,ByBirth,408,1000,1
1,48,6.5,1,1,Materials,Black,6.0,1,0,0,1,ByBirth,350,0,1
1,39,0.54,0,0,ConsumerStaples,White,0.5,1,1,3,0,ByBirth,200,1000,1
1,33,2.75,1,1,CommunicationServices,White,4.25,1,1,6,0,ByBirth,204,0,1
0,18,9.5,1,1,Industrials,White,1.625,1,1,6,1,ByBirth,40,600,1
0,26,13.5,1,1,Materials,Black,5.0,1,1,2,0,ByBirth,0,5000,1
0,31,3.75,1,1,InformationTechnology,Black,0.625,1,1,9,1,ByBirth,181,0,1
0,56,16.0,1,1,Research,Latino,0.0,1,1,15,0,ByBirth,0,247,1
1,43,0.29,0,0,InformationTechnology,Black,1.75,1,1,8,0,ByBirth,100,375,1
1,22,11.0,1,1,Industrials,White,2.0,1,1,1,0,ByBirth,80,278,1
1,27,1.665,1,1,InformationTechnology,Black,5.085,1,1,9,0,ByBirth,399,827,1
1,32,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth,160,2072,1
1,23,1.5,1,1,Materials,White,2.375,1,1,3,1,ByBirth,0,582,1
0,40,7.54,0,0,Materials,Black,8.0,1,1,14,0,ByBirth,0,2300,1
0,30,6.5,1,1,Energy,Asian,4.0,1,1,7,1,ByBirth,0,3065,1
0,52,15.0,1,1,Energy,White,5.5,1,1,14,0,ByBirth,0,2200,1
0,46,0.46,1,1,InformationTechnology,Black,0.415,1,1,11,1,ByBirth,440,6,1
0,58,10.0,1,1,Materials,White,4.0,1,1,14,0,ByBirth,0,1602,1
1,37,6.5,1,1,CommunicationServices,Black,4.25,1,1,12,1,ByBirth,93,0,1
1,23,2.5,1,1,Energy,White,1.085,1,1,11,1,ByBirth,60,2184,1
1,32,1.5,1,1,InformationTechnology,Black,5.5,1,1,3,1,ByBirth,0,0,1
0,21,11.5,0,0,Research,Other,0.0,1,1,11,1,ByBirth,0,0,1
0,28,3.04,0,0,Utilities,Black,2.54,1,1,1,0,ByBirth,70,0,1
0,68,15.0,1,1,Education,Other,0.0,1,1,14,0,ByBirth,0,3376,1
1,28,2.0,1,1,Financials,Black,4.165,1,1,2,1,ByBirth,181,0,1
1,34,0.08,0,0,CommunicationServices,Asian,0.04,1,1,1,1,ByBirth,280,2000,1
1,27,2.0,1,1,Utilities,Black,1.0,1,1,4,0,ByBirth,140,7544,1
1,44,2.0,1,1,CommunicationServices,White,1.75,1,1,2,1,ByBirth,0,15,1
1,25,1.71,1,1,Utilities,White,1.665,1,1,1,1,ByBirth,395,20,1
1,32,1.75,0,0,Education,Black,0.04,1,0,0,1,ByBirth,393,0,1
0,60,16.5,1,1,Materials,White,11.0,1,0,0,1,ByBirth,21,10561,1
0,40,10.0,1,1,Materials,Black,1.75,1,0,0,0,ByBirth,29,837,1
1,19,9.5,1,1,Materials,White,1.0,1,0,0,1,ByBirth,60,400,1
0,32,0.54,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth,440,11177,1
1,36,3.25,1,1,Materials,Black,9.0,1,0,0,1,ByBirth,102,639,1
1,37,1.125,0,0,Real Estate,White,1.5,0,0,0,1,ByBirth,431,0,1
0,25,2.54,0,0,ConsumerStaples,White,0.25,1,0,0,1,ByBirth,370,0,1
1,41,0.0,1,1,Energy,Asian,15.0,1,0,0,0,ByBirth,0,0,1
1,56,12.5,1,1,Financials,Black,8.0,1,0,0,1,ByBirth,24,2028,1
0,49,13.585,1,1,Financials,Black,8.5,1,0,0,1,ByBirth,0,0,1
1,22,10.5,1,1,Materials,Black,1.335,1,0,0,0,ByBirth,100,0,1
1,27,1.5,0,0,Industrials,White,0.375,1,0,0,1,ByBirth,260,1065,1
1,25,12.5,1,1,ConsumerStaples,White,3.0,1,0,0,1,ByOtherMeans,20,0,1
0,26,8.665,1,1,ConsumerStaples,White,1.415,1,0,0,0,ByBirth,160,150,1
0,18,9.25,1,1,Materials,White,1.21,1,1,4,0,ByBirth,60,540,1
1,20,8.17,1,1,ConsumerStaples,White,1.96,1,1,14,0,ByBirth,60,158,1
1,47,0.29,1,1,Energy,Asian,15.0,1,1,20,0,ByBirth,0,15000,1
0,21,2.335,1,1,ConsumerDiscretionary,Asian,0.5,1,1,4,0,ByOtherMeans,80,0,1
0,20,3.0,1,1,Materials,White,0.165,1,1,3,0,ByBirth,100,6,1
0,57,19.5,1,1,Energy,White,5.5,1,1,7,0,ByBirth,0,3000,1
0,22,5.665,1,1,Materials,White,2.585,1,1,7,0,ByBirth,129,3257,1
1,48,8.5,1,1,Energy,Black,12.5,1,1,9,0,ByBirth,181,1655,1
1,40,6.5,1,1,ConsumerStaples,Asian,3.5,1,1,1,0,ByBirth,0,500,1
1,40,5.0,1,1,Energy,White,5.0,1,1,7,0,ByBirth,0,3065,1
0,28,1.04,1,1,Energy,White,2.5,1,1,5,1,ByBirth,300,1430,1
0,33,4.625,1,1,Materials,Black,1.625,1,1,2,0,ByBirth,0,0,1
1,21,10.5,1,1,Energy,White,3.0,1,0,0,1,ByBirth,0,0,1
1,42,0.205,1,1,ConsumerDiscretionary,Black,5.125,1,0,0,0,ByBirth,400,0,1
1,41,0.96,1,1,Utilities,White,2.5,1,0,0,0,ByBirth,510,600,1
1,22,1.585,0,0,Industrials,White,3.085,1,1,6,0,ByBirth,80,0,1
1,34,4.04,0,0,ConsumerDiscretionary,Asian,8.5,1,1,7,1,ByBirth,195,0,1
1,28,5.04,0,0,Energy,Asian,1.5,1,1,8,1,ByBirth,144,7,1
1,33,3.165,0,0,Utilities,White,3.165,1,1,3,1,ByBirth,380,0,1
1,48,7.625,1,1,Industrials,Black,15.5,1,1,12,0,ByBirth,0,790,1
1,27,2.04,0,0,ConsumerStaples,White,2.0,1,1,3,1,ByBirth,370,560,1
1,22,10.04,1,1,Utilities,White,0.04,1,1,9,0,ByBirth,60,396,1
0,24,0.5,1,1,Materials,Black,1.25,1,1,1,0,ByBirth,0,678,1
0,41,1.0,1,1,ConsumerDiscretionary,Asian,2.25,1,0,0,1,ByBirth,0,300,1
1,24,2.75,1,1,Energy,White,2.25,1,1,6,0,ByBirth,0,600,1
0,20,10.25,1,1,Materials,White,0.71,1,1,2,1,ByBirth,49,0,1
1,36,2.125,0,0,Industrials,White,0.085,1,1,1,0,ByBirth,50,1187,1
0,35,12.0,1,1,Materials,Black,14.0,1,1,8,0,ByBirth,0,6590,1
0,71,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
1,28,9.335,1,1,Materials,Black,5.665,1,1,6,0,ByBirth,381,168,1
1,35,2.5,1,1,Financials,White,4.5,1,1,7,0,ByBirth,150,1270,1
1,39,4.25,1,1,Energy,Asian,6.5,1,1,16,0,ByBirth,117,1210,1
1,39,5.875,1,1,InformationTechnology,Black,10.0,1,1,14,1,ByBirth,399,0,1
1,24,6.625,0,0,Real Estate,White,5.5,1,0,0,1,ByOtherMeans,100,0,1
1,60,14.5,1,1,Healthcare,Latino,18.0,1,1,15,1,ByBirth,0,1000,1
1,23,11.5,1,1,ConsumerDiscretionary,White,3.5,1,1,9,0,ByBirth,56,742,1
1,26,2.71,0,0,InformationTechnology,White,5.25,1,1,1,0,ByBirth,211,0,1
1,48,3.5,1,1,ConsumerStaples,White,3.5,1,0,0,0,ByOtherMeans,230,0,1
1,41,4.04,1,1,InformationTechnology,Black,7.0,1,1,8,0,ByBirth,320,0,1
1,55,11.5,1,1,Healthcare,Latino,5.0,1,1,5,0,ByBirth,0,8851,1
1,53,9.625,1,1,Education,White,8.665,1,1,5,0,ByBirth,0,0,1
0,18,9.25,0,0,Energy,White,1.0,1,1,4,1,ByBirth,80,500,1
0,50,12.54,1,1,ConsumerStaples,White,2.29,1,1,3,1,ByBirth,156,0,1
1,65,11.0,1,1,Education,Other,20.0,1,1,7,1,ByBirth,22,0,1
0,17,9.0,1,1,ConsumerStaples,White,1.375,1,0,0,1,ByBirth,0,0,1
0,18,9.54,1,1,ConsumerStaples,White,0.085,1,0,0,0,ByBirth,100,0,1
0,37,5.5,1,1,Materials,White,0.125,1,0,0,1,ByBirth,228,0,1
1,23,4.0,1,1,Energy,Asian,0.25,1,0,0,1,ByBirth,160,0,1
1,18,5.5,1,1,Financials,White,0.5,1,0,0,0,ByBirth,80,0,1
0,22,8.46,0,0,Utilities,White,2.46,0,0,0,0,ByBirth,164,0,1
1,19,0.375,1,1,Materials,White,2.0,1,1,2,1,ByBirth,80,0,1
1,22,11.0,1,1,InformationTechnology,White,0.665,1,0,0,0,ByBirth,100,0,1
1,25,3.5,1,1,InformationTechnology,White,0.625,1,1,7,0,ByBirth,0,7059,1
0,47,3.0,1,1,Utilities,White,13.875,1,1,2,1,ByBirth,519,1704,1
1,33,1.75,1,1,Utilities,Black,4.5,1,1,4,1,ByBirth,253,857,1
1,27,13.75,1,1,Industrials,White,5.75,1,0,0,1,ByBirth,487,500,1
0,58,21.0,1,1,ConsumerDiscretionary,Asian,10.0,1,1,13,0,ByBirth,0,6700,1
0,20,1.835,1,1,Materials,White,2.085,1,1,5,0,ByBirth,220,2503,1
1,26,0.25,1,1,ConsumerDiscretionary,Asian,0.0,1,0,0,1,ByBirth,0,0,1
1,21,7.5,1,1,ConsumerStaples,White,1.415,1,1,1,0,ByBirth,80,9800,1
1,42,4.625,1,1,Materials,White,4.58,1,0,0,0,ByOtherMeans,0,0,1
1,38,10.125,1,1,Utilities,White,2.5,1,1,6,0,ByBirth,520,196,1
1,20,10.0,0,0,Energy,White,2.5,1,0,0,0,ByOtherMeans,40,0,1
1,48,25.085,1,1,Industrials,White,1.75,1,1,3,0,ByBirth,120,14,1
1,28,5.0,1,1,Industrials,White,11.0,1,0,0,1,ByBirth,70,0,1
0,18,7.5,1,1,Materials,White,2.71,1,1,5,0,ByBirth,0,26726,1
1,18,2.0,1,1,ConsumerDiscretionary,White,1.5,1,1,2,0,ByBirth,120,300,1
1,33,3.04,0,0,Energy,Black,2.04,1,1,1,1,ByBirth,180,18027,1
1,45,8.5,1,1,InformationTechnology,Black,14.0,1,1,1,1,ByBirth,88,2000,1
0,19,0.21,1,1,Materials,Black,0.29,1,1,11,0,ByBirth,80,99,1
1,24,12.75,1,1,Energy,Asian,4.75,1,1,2,0,ByBirth,73,444,1
1,21,11.0,1,1,Utilities,White,0.29,1,1,6,0,ByBirth,121,0,1
1,40,21.5,1,1,Education,Other,20.0,1,1,11,0,ByBirth,0,1200,1
1,41,5.0,1,1,Materials,Black,5.0,1,1,6,1,ByBirth,470,0,1
0,17,11.0,1,1,Utilities,Black,1.0,1,1,11,0,ByBirth,0,3000,1
1,23,11.125,1,1,Utilities,Black,0.46,1,1,1,0,ByBirth,100,0,1
1,28,0.625,1,1,Financials,White,0.25,0,0,0,0,ByBirth,380,2010,0
1,18,10.25,1,1,Energy,Black,1.085,0,0,0,0,ByBirth,320,13,0
1,20,11.045,1,1,Energy,White,2.0,0,0,0,1,ByBirth,136,0,0
1,20,0.0,1,1,Real Estate,White,0.5,0,0,0,0,ByBirth,144,0,0
0,20,9.54,1,1,ConsumerDiscretionary,White,0.04,0,0,0,0,ByBirth,200,1000,0
0,24,1.75,0,0,Energy,White,0.165,0,0,0,0,ByBirth,132,0,0
1,32,2.335,1,1,Real Estate,Black,5.75,0,0,0,1,ByBirth,292,0,0
0,52,0.0,0,0,Healthcare,Latino,0.0,0,0,0,0,ByBirth,0,0,0
0,48,1.335,1,1,ConsumerDiscretionary,Other,0.335,0,0,0,0,ByBirth,0,120,0
0,20,10.5,0,0,Utilities,Black,0.0,0,0,0,1,ByBirth,154,32,0
1,50,0.585,1,1,Healthcare,Latino,0.0,0,0,0,0,ByBirth,145,0,0
1,17,0.085,0,0,Energy,White,0.04,0,0,0,0,ByBirth,140,722,0
1,18,1.21,0,0,Education,Other,0.0,0,0,0,0,ByBirth,100,0,0
0,32,6.0,1,1,Real Estate,White,1.25,0,0,0,0,ByBirth,272,0,0
1,59,1.54,1,1,Materials,White,0.125,1,0,0,1,ByBirth,260,0,1
1,18,0.165,1,1,Materials,Other,0.21,0,0,0,0,ByBirth,200,40,1
1,37,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
1,32,2.5,1,1,Energy,White,1.25,0,0,0,1,ByBirth,280,0,0
1,18,6.75,0,0,CommunicationServices,White,0.04,0,0,0,0,ByBirth,140,0,0
1,38,10.125,0,0,Financials,White,0.125,0,0,0,0,ByBirth,160,0,0
1,30,2.5,1,1,InformationTechnology,Black,2.25,0,0,0,1,ByOtherMeans,340,0,0
1,18,5.71,1,1,Real Estate,White,0.54,0,0,0,0,ByBirth,120,0,0
0,19,5.415,1,1,ConsumerDiscretionary,Black,0.29,0,0,0,0,ByBirth,80,484,0
0,18,10.0,0,0,Materials,Black,0.165,0,0,0,0,ByBirth,340,0,0
1,24,13.5,0,0,Healthcare,Latino,0.0,0,0,0,0,ByBirth,0,0,0
1,16,0.835,1,1,CommunicationServices,White,0.085,1,0,0,0,ByOtherMeans,200,0,0
1,21,0.875,0,0,Energy,Black,0.25,0,0,0,0,ByBirth,280,204,0
1,23,0.585,0,0,InformationTechnology,Black,0.125,0,0,0,0,ByBirth,240,1,0
1,17,4.46,1,1,Energy,White,0.25,0,0,0,0,ByOtherMeans,80,0,0
0,16,1.25,1,1,Materials,White,0.25,0,1,1,0,ByBirth,108,98,0
1,23,12.625,1,1,Energy,White,0.125,0,1,2,0,ByBirth,0,5552,0
1,17,10.0,1,1,Industrials,Black,0.165,0,1,1,0,ByBirth,120,1,0
0,28,1.5,1,1,Healthcare,Latino,0.0,0,1,2,1,ByBirth,200,105,0
1,29,0.58,1,1,Industrials,White,0.29,0,1,1,0,ByBirth,340,2803,0
1,18,0.415,0,0,Energy,White,0.165,0,1,1,0,ByBirth,200,1,0
0,21,1.75,0,0,Research,Other,0.0,0,0,0,0,ByBirth,160,0,0
1,23,0.75,1,1,CommunicationServices,White,0.5,0,0,0,1,ByOtherMeans,320,0,0
0,18,10.0,1,1,Industrials,White,1.0,0,1,1,0,ByBirth,120,1,0
1,25,0.54,1,1,Industrials,White,0.165,0,1,1,0,ByBirth,272,444,0
1,35,2.415,1,1,Industrials,White,0.125,0,1,2,0,ByBirth,220,1,0
0,16,0.335,1,1,Healthcare,Latino,0.0,0,1,1,0,ByBirth,160,126,0
0,31,3.125,1,1,Healthcare,Latino,3.04,0,1,2,1,ByBirth,200,4,0
1,69,9.0,1,1,Healthcare,Latino,4.0,0,1,1,0,ByBirth,70,6,0
1,32,2.5,1,1,ConsumerStaples,White,1.75,0,1,2,1,ByBirth,720,0,0
1,16,2.75,1,1,ConsumerStaples,White,0.665,0,1,1,0,ByBirth,80,21,0
1,22,12.125,1,1,Energy,White,3.335,0,1,2,1,ByBirth,180,173,0
0,57,2.0,1,1,Healthcare,Latino,6.5,0,1,1,0,ByBirth,0,10,0
1,18,0.165,1,1,Real Estate,White,0.25,0,0,0,1,ByOtherMeans,280,0,0
1,23,1.0,1,1,Energy,White,0.5,0,0,0,1,ByOtherMeans,280,0,0
0,15,2.875,1,1,Materials,White,0.085,0,0,0,0,ByBirth,120,0,0
0,24,13.665,1,1,Materials,Black,1.5,0,0,0,0,ByBirth,280,1,0
1,48,26.335,0,0,Healthcare,Latino,0.0,1,0,0,1,ByBirth,0,0,0
1,23,2.75,1,1,Healthcare,Latino,4.5,0,0,0,0,ByBirth,160,25,0
1,18,10.29,1,1,Healthcare,Latino,0.415,0,0,0,0,ByBirth,80,0,0
1,27,1.29,1,1,Financials,Black,0.25,0,0,0,1,ByOtherMeans,140,0,0
