Gender,Age,Married,YearsEmployed,Income,Approved
1,59,1,0.125,0.0,1
1,18,1,0.21,368.8879454113936,1
1,37,1,0.0,0.0,1
1,32,1,1.25,0.0,0
1,18,0,0.04,0.0,0
1,38,0,0.125,0.0,0
1,30,1,2.25,0.0,0
1,18,1,0.54,0.0,0
0,19,1,0.29,618.2084906716632,0
0,18,0,0.165,0.0,0
1,24,0,0.0,0.0,0
1,16,1,0.085,0.0,0
1,21,0,0.25,531.8119993844216,0
1,23,0,0.125,0.0,0
1,17,1,0.25,0.0,0
0,16,1,0.25,458.49674786705725,0
1,23,1,0.125,862.191350218664,0
1,17,1,0.165,0.0,0
0,28,1,0.0,465.3960350157523,0
1,29,1,0.29,793.8445551164788,0
1,18,0,0.165,0.0,0
0,21,0,0.0,0.0,0
1,23,1,0.5,0.0,0
0,18,1,1.0,0.0,0
1,25,1,0.165,609.5824562432225,0
1,35,1,0.125,0.0,0
0,16,1,0.0,483.6281906951478,0
0,31,1,3.04,138.62943611198907,0
1,69,1,4.0,179.1759469228055,0
1,32,1,1.75,0.0,0
1,16,1,0.665,304.4522437723423,0
1,22,1,3.335,515.3291594497779,0
0,57,1,6.5,230.25850929940458,0
1,18,1,0.25,0.0,0
1,23,1,0.5,0.0,0
0,15,1,0.085,0.0,0
0,24,1,1.5,0.0,0
1,48,0,0.0,0.0,0
1,23,1,4.5,321.88758248682007,0
1,18,1,0.415,0.0,0
1,27,1,0.25,0.0,0
0,31,0,0.0,299.57322735539907,0
0,24,1,1.0,179.1759469228055,0
1,19,0,2.335,179.1759469228055,0
0,16,1,0.125,0.0,0
0,18,1,0.415,373.76696182833683,0
1,16,0,0.25,0.0,0
1,23,1,0.5,0.0,0
1,21,0,0.25,531.8119993844216,0
1,19,0,0.0,0.0,1
1,36,0,1.5,472.7387818712341,1
1,21,1,1.5,207.94415416798358,1
0,18,0,10.0,0.0,1
0,33,1,0.375,378.4189633918261,1
1,48,0,0.25,791.2789220690681,1
1,33,1,1.165,0.0,0
0,29,0,1.0,256.49493574615366,0
1,30,0,0.04,518.7385805840755,0
1,40,1,0.5,0.0,0
1,34,0,3.0,0.0,0
1,28,0,0.085,0.0,0
1,20,1,0.0,0.0,0
0,33,0,2.5,69.31471805599453,0
1,34,1,1.0,277.25887222397813,0
0,25,1,1.0,696.7909201801884,0
1,34,1,0.5,0.0,0
1,27,1,0.165,552.5452939131784,0
1,47,1,1.0,542.9345628954441,0
0,34,0,0.5,0.0,0
0,33,0,2.0,0.0,0
1,28,1,0.75,420.46926193909655,0
0,39,1,3.0,0.0,0
1,42,1,0.04,460.51701859880916,0
1,26,1,0.5,829.4049640102028,0
1,33,1,0.0,0.0,0
1,38,1,0.5,69.31471805599453,0
1,62,1,0.0,248.49066497880003,0
1,32,1,0.25,480.40210447332566,0
1,26,0,2.5,709.8375638590786,0
1,63,1,0.585,0.0,0
1,27,1,2.25,109.86122886681098,0
0,26,1,0.0,0.0,0
1,22,0,0.0,0.0,0
1,22,0,1.5,829.4049640102028,0
1,30,1,0.585,0.0,0
1,36,1,0.25,0.0,0
0,16,1,1.0,0.0,0
1,41,1,0.165,0.0,0
0,19,1,0.04,0.0,0
1,32,1,0.165,0.0,0
0,36,1,0.0,0.0,0
0,30,1,5.5,0.0,0
1,23,1,0.085,834.4742754417546,0
1,26,1,0.0,0.0,0
1,16,0,0.29,0.0,0
1,24,1,0.165,717.0119543449628,0
1,42,1,13.875,471.8498871295094,0
0,22,1,0.165,690.7755278982137,0
1,39,0,0.165,0.0,0
0,23,0,3.0,277.25887222397813,0
1,21,0,0.75,69.31471805599453,0
1,33,0,7.0,0.0,0
1,26,1,0.0,701.2115294306379,0
0,45,1,1.0,0.0,0
1,26,1,0.125,0.0,0
1,28,1,0.04,691.1747300251674,0
0,20,0,1.0,0.0,0
1,28,1,0.125,565.5991810819852,0
1,20,0,2.0,0.0,0
1,34,1,0.125,841.1832675758411,0
1,33,1,4.0,0.0,0
1,43,1,2.25,0.0,0
0,22,1,0.165,0.0,0
0,24,0,4.5,612.2492809514387,0
0,56,0,5.0,138.62943611198907,0
1,22,1,1.585,710.002716662926,0
1,34,0,1.5,0.0,0
1,22,0,0.54,420.46926193909655,0
1,21,1,0.5,0.0,0
1,26,1,0.0,0.0,0
1,22,1,0.085,0.0,0
1,15,1,1.0,0.0,0
1,39,1,0.21,0.0,0
1,27,1,0.25,0.0,0
1,24,1,1.0,0.0,0
1,41,0,0.25,527.2999558563747,0
0,33,1,0.54,0.0,0
1,29,0,0.04,0.0,0
0,23,0,0.125,446.59081186545836,0
1,26,0,1.25,283.3213344056216,0
1,31,1,0.085,0.0,0
1,20,0,0.29,521.4935757608986,0
1,28,1,0.29,494.1642422609304,0
0,51,1,3.085,0.0,0
0,22,1,0.75,0.0,0
1,34,0,1.085,0.0,0
0,69,1,0.0,0.0,0
0,40,0,0.165,289.03717578961647,0
0,19,0,1.0,69.31471805599453,0
1,16,1,0.085,179.1759469228055,0
1,17,1,0.335,207.94415416798358,0
1,31,1,0.0,498.3606621708336,0
1,25,1,1.25,309.1042453358316,0
0,22,1,0.085,0.0,0
1,40,1,0.0,0.0,0
1,22,1,0.125,400.73331852324714,0
0,22,0,3.25,0.0,0
1,22,0,0.125,424.84952420493596,0
1,23,1,0.54,0.0,0
1,38,1,0.375,621.4608098422192,0
0,26,0,0.0,409.43445622221003,0
1,35,1,1.0,0.0,0
1,20,1,1.5,194.59101490553132,0
1,29,1,1.75,0.0,0
1,26,1,1.165,0.0,0
1,33,1,1.5,0.0,0
1,24,1,0.25,0.0,0
0,27,1,0.25,391.2023005428146,0
1,37,1,0.04,160.94379124341003,0
1,49,1,0.29,109.86122886681098,0
1,33,0,0.085,0.0,0
1,51,0,1.5,138.62943611198907,0
1,22,0,0.165,696.4135612418245,0
1,21,1,0.085,0.0,0
1,25,1,0.5,0.0,0
1,58,1,2.415,0.0,0
1,19,0,0.0,0.0,0
1,19,1,0.0,664.5090969505644,0
0,53,1,0.0,329.5836866004329,0
0,27,1,0.0,570.3782474656201,0
1,25,1,0.375,109.86122886681098,0
1,23,1,1.0,0.0,0
1,39,1,0.0,0.0,0
1,30,0,0.125,0.0,0
1,17,1,0.04,368.8879454113936,0
0,17,0,0.0,0.0,0
0,28,1,0.0,855.6413904569519,0
1,16,1,0.165,0.0,0
0,27,1,0.0,0.0,0
1,31,1,0.0,294.443897916644,0
1,20,1,0.5,0.0,0
1,28,0,7.0,0.0,0
1,39,1,1.5,575.5742213586913,0
1,36,1,3.5,391.2023005428146,0
1,29,1,0.25,0.0,0
1,52,1,3.75,585.7933154483459,0
1,36,1,0.085,817.526610411206,0
1,34,1,0.0,0.0,0
1,29,0,0.04,0.0,0
1,36,1,5.0,653.2334292222349,0
1,25,0,1.5,0.0,0
0,24,0,0.0,0.0,0
1,24,1,0.085,757.5584651557792,0
1,21,1,0.125,0.0,0
0,36,1,0.0,289.03717578961647,0
0,23,1,0.0,397.0291913552122,0
0,27,1,2.79,230.25850929940458,0
1,31,1,2.5,371.3572066704308,0
0,30,1,0.04,349.650756146648,0
1,22,1,0.75,0.0,0
1,16,1,0.415,0.0,0
0,21,1,0.085,160.94379124341003,0
1,21,0,0.04,460.51701859880916,0
1,17,1,0.125,460.51701859880916,0
1,19,0,1.0,690.7755278982137,0
1,20,1,0.125,378.4189633918261,0
1,26,1,0.75,0.0,0
1,23,1,0.085,160.94379124341003,0
1,39,0,10.0,0.0,0
1,22,1,0.415,0.0,0
1,26,0,0.085,0.0,0
0,16,1,0.165,355.53480614894136,0
1,23,0,0.415,438.2026634673881,0
0,17,1,1.75,230.25850929940458,0
1,23,0,0.04,179.1759469228055,0
1,34,1,1.165,0.0,0
1,74,0,0.04,586.0786223465866,0
1,28,0,0.085,764.9692623711514,0
1,24,0,0.04,616.3314804034642,0
1,18,0,0.0,0.0,0
1,45,1,0.125,0.0,0
0,47,1,2.75,679.346613258001,1
1,24,1,4.625,760.0902459542082,1
1,39,1,6.5,843.5332164935917,1
0,20,1,6.0,0.0,1
0,18,0,3.0,0.0,1
1,19,1,1.5,769.8936199813447,1
0,25,1,1.04,867.5904882571059,1
1,20,1,1.665,333.22045101752036,1
1,25,1,1.46,0.0,1
1,20,1,1.625,723.7778191923443,1
1,28,1,5.0,773.1492029245684,1
1,39,1,3.5,0.0,1
0,64,1,0.0,460.51701859880916,1
1,28,1,4.75,194.59101490553132,1
0,28,1,1.085,0.0,1
1,31,1,7.0,851.7193191416238,1
0,18,1,0.75,638.1816017406098,1
0,24,1,1.835,621.4608098422192,1
0,30,1,2.0,294.443897916644,1
1,21,0,2.25,570.3782474656201,1
1,13,0,1.75,690.7755278982137,1
0,46,1,0.0,686.6933284461882,1
0,44,1,2.5,0.0,1
1,20,1,0.0,0.0,1
1,22,0,2.585,0.0,1
1,28,1,6.5,0.0,1
0,60,1,4.0,459.51198501345897,1
1,16,1,1.75,653.6691597591305,1
0,28,1,0.585,0.0,1
1,39,1,0.125,0.0,1
1,20,1,1.5,545.5321115357701,1
0,30,1,2.25,621.4608098422192,1
1,22,1,1.29,668.4611727667927,1
0,22,1,1.75,689.7704943128635,0
0,28,1,2.415,0.0,0
1,45,1,2.5,0.0,0
1,41,1,0.21,0.0,0
0,57,1,1.0,769.484807238461,0
0,55,1,6.75,391.2023005428146,0
1,43,1,0.21,449.9809670330265,0
0,25,1,2.75,0.0,0
0,24,1,1.75,0.0,0
1,43,1,0.75,0.0,0
1,40,1,0.0,0.0,0
1,31,1,7.5,0.0,0
0,33,0,0.0,0.0,0
0,24,1,0.0,0.0,0
1,35,1,3.75,0.0,0
1,34,1,0.25,0.0,0
1,80,1,0.54,582.8945617610208,0
1,19,0,2.0,299.57322735539907,0
1,42,1,1.0,529.8317366548036,0
1,19,0,0.835,0.0,0
1,36,1,1.165,0.0,0
1,30,0,0.5,333.22045101752036,0
1,44,0,1.5,0.0,0
1,23,0,2.625,584.9324779946859,0
1,23,1,1.875,578.9960170897253,1
1,33,1,0.75,831.164394850298,1
1,48,1,16.0,0.0,1
1,76,1,12.75,469.1347882229143,1
1,51,1,0.0,713.0098510125578,1
1,34,1,5.375,489.7839799950911,1
1,38,1,4.0,720.3405521083095,1
0,22,0,0.75,577.1441123130015,1
1,41,1,0.21,685.4354502255021,1
1,29,1,7.5,0.0,1
0,32,1,1.085,763.9642287858013,1
1,51,1,0.04,800.6367567650246,1
0,22,1,2.29,777.6535028185241,1
0,25,1,3.5,612.6869184114186,1
1,26,1,1.25,857.5084669832014,1
1,23,1,1.415,529.8317366548036,1
1,24,1,1.585,0.0,1
1,42,1,12.75,0.0,1
0,20,1,0.04,0.0,1
1,23,1,2.125,564.8974238161206,1
0,25,1,0.875,0.0,1
1,43,0,0.375,508.75963352323834,1
0,35,1,0.75,736.7077059881012,1
1,59,1,1.75,406.0443010546419,1
1,21,0,1.085,0.0,1
1,21,0,0.04,407.75374439057197,1
0,65,1,0.0,724.422751560335,1
0,20,1,1.0,728.9610521451167,1
1,32,0,3.25,898.7196820661973,1
1,30,1,1.75,629.156913955832,1
1,25,1,1.0,0.0,1
1,39,1,1.5,845.531778769815,1
1,39,1,1.29,700.033446027523,1
1,31,1,1.335,809.8642843759418,1
1,41,1,0.04,0.0,1
1,48,1,0.125,0.0,1
1,32,0,5.25,0.0,1
0,28,0,0.0,948.8880786510681,1
1,73,1,0.0,0.0,1
1,64,1,17.5,690.7755278982137,1
1,51,1,8.5,0.0,1
1,26,0,1.0,866.1639795781266,1
1,25,1,0.29,854.1690663016626,1
1,30,1,3.125,709.0076835776092,1
1,27,1,4.25,501.0635294096256,1
1,23,1,0.0,0.0,1
1,34,1,0.085,179.1759469228055,1
1,38,1,0.085,0.0,1
1,25,1,0.25,313.549421592915,1
0,46,1,2.375,833.3029939742911,1
0,21,1,2.5,682.219739062049,1
1,20,1,1.0,664.3789733147672,1
1,20,1,2.0,800.6367567650246,1
0,29,1,0.54,621.4608098422192,1
1,42,0,0.0,0.0,0
1,29,0,0.25,0.0,0
1,20,1,0.125,0.0,0
1,23,1,0.085,0.0,0
0,29,0,1.25,0.0,0
1,16,1,0.04,0.0,1
1,32,1,0.5,0.0,0
1,28,0,4.25,0.0,0
1,47,1,0.085,0.0,0
1,20,0,0.125,138.62943611198907,0
1,27,0,5.085,0.0,0
1,22,1,0.29,564.5446897643237,0
1,19,1,0.585,194.59101490553132,0
0,38,1,0.125,0.0,0
1,29,1,0.25,468.213122712422,0
1,22,1,1.585,219.72245773362195,0
1,32,0,0.0,0.0,0
1,29,1,2.0,421.9507705176107,0
1,18,0,0.125,592.6926025970411,0
1,22,1,0.125,230.25850929940458,0
1,22,1,2.25,0.0,1
0,25,1,0.0,0.0,1
1,18,1,0.665,0.0,0
1,21,0,0.665,0.0,0
1,23,1,2.085,0.0,0
1,22,0,0.165,0.0,0
1,36,1,0.0,690.7755278982137,0
1,29,1,0.5,0.0,0
0,19,1,1.665,160.94379124341003,0
0,22,1,0.25,669.5798917058491,0
0,27,1,0.125,468.213122712422,0
0,38,1,0.0,0.0,0
1,32,0,0.0,0.0,0
0,23,1,0.25,138.62943611198907,0
1,18,1,0.96,637.5024819828096,0
1,40,0,0.5,0.0,0
1,19,1,0.79,585.7933154483459,0
1,28,1,0.25,0.0,0
1,35,1,1.5,0.0,0
1,34,1,2.5,529.8317366548036,0
1,33,0,3.5,494.87598903781685,0
1,31,0,3.5,0.0,0
0,52,1,3.0,0.0,0
1,36,0,0.29,69.31471805599453,0
1,37,1,0.165,621.6606101084865,0
0,20,1,0.165,586.0786223465866,0
1,24,1,0.25,0.0,0
1,25,1,3.5,0.0,0
0,35,1,0.0,529.8317366548036,0
1,48,1,1.0,69.31471805599453,0
0,15,1,0.125,507.51738152338265,0
0,22,1,0.335,0.0,0
1,21,1,0.5,421.9507705176107,0
0,23,1,0.415,239.78952727983707,0
0,21,0,0.0,0.0,0
1,25,1,2.29,304.4522437723423,0
0,38,1,0.25,596.6146739123692,0
0,15,1,1.0,289.03717578961647,0
0,28,1,0.25,503.695260241363,0
1,22,1,0.085,0.0,0
1,29,1,0.165,0.0,0
0,23,1,0.875,0.0,0
1,32,0,1.5,0.0,0
1,31,0,0.04,0.0,0
1,31,0,0.04,0.0,0
0,21,1,0.25,0.0,0
0,17,1,1.75,160.94379124341003,0
1,30,1,0.085,0.0,0
1,51,0,1.5,0.0,0
1,47,1,5.5,501.0635294096256,0
1,25,1,0.5,69.31471805599453,0
0,50,1,0.5,476.21739347977564,0
1,29,0,2.0,283.3213344056216,0
0,37,1,0.21,550.5331535932362,0
0,41,1,0.665,546.8060141135131,0
0,30,1,0.085,109.86122886681098,0
1,19,1,0.04,0.0,0
0,17,1,0.0,391.2023005428146,0
0,20,1,0.0,0.0,0
1,19,1,0.29,589.715386763674,0
1,27,0,3.0,628.5998094508865,0
1,17,1,0.335,69.31471805599453,0
1,36,0,0.585,109.86122886681098,0
1,40,1,3.5,0.0,0
1,21,0,1.25,0.0,0
0,22,1,2.0,597.6350909297934,0
0,25,0,2.0,0.0,0
1,17,1,0.04,662.0073206530355,0
1,35,1,8.29,0.0,0
